evidence_record_id,study_reference_id,within_study_evidence_no,author_year,title,evidence_source_category,pathway_level_1_category,pathogen,original_quote,evidence_type_category,mechanism_support_category,effect_direction_category,time_scale_category,spatial_context_category,extraction_date
EVID_114-M9,114,9,Polianciuc (2024),Antibiotic Residues and Resistance in Three Wastewater Treatment Plants in Romania,Discussion interpretation,Direct biological mechanisms,,"“Some effluent sample micrographs (Figure 4d,e) display clusters of cells, suggesting biofilm formation, which can protect bacteria from treatment processes and promote the spread of antibiotic resistance. Biofilm formation is a well-known survival strategy that protects from physical stresses and antimicrobial agents, both of which are common in WWTPs and can also facilitate horizontal gene transfer among bacteria, potentially spreading resistance traits [55,56].” (p.14, para.1)",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-01-01
EVID_115-M1,115,1,Peng (2019),An extensively shared antibiotic resistome among four seasons suggests management prioritization in a subtropical riverine ecosystem,Results and discussion integration,Environment-mediated pathways,,"“Summer rainfall had strong dilution effect on ARGs in upstream waters and enrichment effect in downstream waters.” (p.1, para. Abstract)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_115-M2,115,2,Peng (2019),An extensively shared antibiotic resistome among four seasons suggests management prioritization in a subtropical riverine ecosystem,Results,Environment-mediated pathways,,"“The significantly higher number of ARGs in the summer rainy period than other seasons coincided with high number of significant edges in ARG co-occurrence networks.” (p.1, para. Abstract)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_115-M3,115,3,Peng (2019),An extensively shared antibiotic resistome among four seasons suggests management prioritization in a subtropical riverine ecosystem,Results,Environment-mediated pathways,,"“Houxi river system exhibited a spatial environmental heterogeneity induced by human activities in the watershed (Fig. S1).” (p.3, para.1)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_115-M4,115,4,Peng (2019),An extensively shared antibiotic resistome among four seasons suggests management prioritization in a subtropical riverine ecosystem,Results,Environment-mediated pathways,,"“The redundancy analysis (RDA) showed that among 17 ecological parameters analyzed, precipitation, dissolved oxygen (DO), pH and nitrogen (TN, NO2-N, and NO3-N) were the variables that correlated significantly with ARGs distribution in the Houxi River.” (p.4, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_115-M5,115,5,Peng (2019),An extensively shared antibiotic resistome among four seasons suggests management prioritization in a subtropical riverine ecosystem,Results,Environment-mediated pathways,,"“The variance partitioning indicated that environmental factors contributed greater than the rainfall, MGEs and geographical distance in explaining ARGs variation in all seasons.” (p.4, para.1)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_116-M1,116,1,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Results,Environment-mediated pathways,未明确,"“This indicates higher concentrations in dry season than that in wet season, which was attributed to the water dilution and weaker self-purification of the river during dry season.” (p.1, Abstract)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_116-M2,116,2,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Results and discussion integration,Environment-mediated pathways,未明确,"“Thus, high flow in June resulted in a great dilution on the concentration of antibiotics in the surface water, which matches the conclusion by Cui et al. (2018) and Jiang et al. (2011).” (p.4, para.1)",Observational,Indirect empirical support,Suppressing AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_116-M3,116,3,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Discussion interpretation,Environment-mediated pathways,未明确,"“The other reason contributing to the low concentration of antibiotics in wet season might be the high temperature and stronger sunlight of summer (June), which could promote the bio- and photo-degradation of antibiotics in water (Karthikeyan and Meyer, 2006).” (p.4, para.1)",Theoretical/projection,Theoretical support,Suppressing AMR,Conceptual or unclear,Natural environment,2025-01-02
EVID_116-M4,116,4,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Results and discussion integration,Environment-mediated pathways,未明确,"“It may be attributed to the higher emission of antibiotics in wet season from the typical wastewater source such as pig farm, PMFs or STPs than that in dry season, replacing the dilution effect of high flow.” (p.4, para.2)",Theoretical/projection,Theoretical support,Bidirectional or mixed,Conceptual or unclear,Natural environment,2025-01-02
EVID_116-M5,116,5,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Results,Environment-mediated pathways,未明确,"“Significantly, RQs of CIP in dry season was higher than that in wet season due to the concentration level, which was discussed in section 3.1.2.” (p.6, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_116-M6,116,6,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Results,Environment-mediated pathways,未明确,"“As a conclusion, RQ values of CIP in both dry and wet season were more than 1.0 in all the sites during both wet and dry season, higher than the values of the other antibiotics.” (p.6, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_116-M7,116,7,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Results and discussion integration,Environment-mediated pathways,未明确,"“Based on the seasonal variation, the concentration of antibiotics were generally higher during dry season than in wet season.” (p.8, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_116-M8,116,8,Pan (2020),"Seasonal variation of antibiotics in surface water of Pudong New Area of Shanghai, China and the occurrence in typical wastewater sources",Results and discussion integration,Environment-mediated pathways,未明确,"“Moreover, the risk assessment shows that RQs in dry season were higher than the values in wet season and the RQ values of CIP in both dry and wet season were more than 1.0 in all the sites.” (p.8, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2025-01-02
EVID_117-M1,117,1,Pak (2022),Impact of seasonal variations on microbiome diversity and antibiotic resistance in aerosolized bacteria in a dairy facility,Results,Environment-mediated pathways,NR（样本为aerosol细菌群落/分离菌混合）,"“Strongest antibiotic resistance in aerosol samples was observed in Winter 2020, especially in the western and southern sides of the barn.” (p.8, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-01-02
EVID_117-M2,117,2,Pak (2022),Impact of seasonal variations on microbiome diversity and antibiotic resistance in aerosolized bacteria in a dairy facility,Results,Environment-mediated pathways,NR,"“Out of the 15 aerosol samples, 8 samples showed resistance to four or more antibiotics.” (p.8, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-01-02
EVID_117-M3,117,3,Pak (2022),Impact of seasonal variations on microbiome diversity and antibiotic resistance in aerosolized bacteria in a dairy facility,Discussion interpretation,Direct biological mechanisms,NR,"“It showed that even though lower temperatures did not favor a diverse microbiome community to develop in Winter 2020 aerosols, they induced high antibiotic resistance in aerosolized bacteria.” (p.8, para.2)",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2025-01-02
EVID_117-M4,117,4,Pak (2022),Impact of seasonal variations on microbiome diversity and antibiotic resistance in aerosolized bacteria in a dairy facility,Discussion interpretation,Environment-mediated pathways,NR,"“High wind velocities and exposure to sunlight were shown to accelerate the evaporation of accumulated flood water and disseminate aerosolized ARB throughout the dairy barn in Summer 2019 and Winter 2020.” (p.8, para.3)",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-01-02
EVID_117-M5,117,5,Pak (2022),Impact of seasonal variations on microbiome diversity and antibiotic resistance in aerosolized bacteria in a dairy facility,Results and discussion integration,Environment-mediated pathways,NR,"“It was revealed that lower temperature and higher relative humidity are favorable for the survival of ARB and development of stronger antibiotic resistance.” (p.9, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2025-01-02
EVID_119-M1,119,1,Oktaviani (2024),Contamination analysis of antimicrobial resistance in escherichia coli in the domestic environment,Results,Environment-mediated pathways,E.coli,"“Based on the results of the AMR E. coli test against the antibiotic used, cefotaxime, it showed that in 60 samples of clean water tested in the rainy season, 44 samples (73.3%) were positive for confirmation of E. coli contamination and 20 samples (33.3%) showed positive confirmation of resistance to cefotaxime antibiotics. Meanwhile, in this dry season study, 33 samples (61.1%) were confirmed positive for E. coli and 12 samples (22.2%) were confirmed to be resistant to the antibiotic cefotaxime.” (p.3, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_119-M2,119,2,Oktaviani (2024),Contamination analysis of antimicrobial resistance in escherichia coli in the domestic environment,Results and discussion integration,Environment-mediated pathways,E.coli,"“High rainfall intensity is correlated with soil flow velocity [6] so that the transmission of E. coli can reach the water sources, causing contamination of E. coli and AMR of E. coli to be higher in the rainy season.” (p.4, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_119-M3,119,3,Oktaviani (2024),Contamination analysis of antimicrobial resistance in escherichia coli in the domestic environment,Results,Environment-mediated pathways,E.coli,"“The results showed that the average positive AMR E. coli concentration in the rainy season was 78 MPN/100 mL, while the average positive AMR E. coli concentration in the dry season was 139.5 MPN/100 mL. Thus, according to the season, the average concentration of AMR E. coli in the dry season is higher than in the rainy season.” (p.4, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_119-M4,119,4,Oktaviani (2024),Contamination analysis of antimicrobial resistance in escherichia coli in the domestic environment,Discussion interpretation,Environment-mediated pathways,E.coli,"“Increased concentrations of E. coli in the dry season have also been reported in a publication by O'Dwyer et al. [7], who stated that drier summers and drought conditions would increase their frequency due to the absence of infiltration or infiltration for microbial transport. In addition, drier periods allow higher concentrations of antimicrobial residues below the surface, thereby leading to increased exposure of bacteria to sub-therapeutic levels of antimicrobial residues [8].” (p.4, para.2)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2026-01-03
EVID_119-M5,119,5,Oktaviani (2024),Contamination analysis of antimicrobial resistance in escherichia coli in the domestic environment,Results,Environment-mediated pathways,E.coli,"“value of Asymp. Sig for contamination of E. coli against seasonal variations is 0.045 (p < 0.05), then the hypothesis (H0) is accepted, there is a statistical difference in E. coli contamination measured from the concentration of E. coli (MPN/100 mL) against seasonal variations. However, on AMR E. coli contamination with seasonal variations, the Asymp Sig value is 0.234 (p>0.05). So with these results, hypothesis H0 is rejected, there is no significant difference in the concentration of E. coli (MPN/100 mL) between the rainy season and the dry season on AMR E. coli contamination in the sample water sources used.” (p.5, para.1)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_120-M1,120,1,Oguttu (2017),An Exploratory Descriptive Study of Antimicrobial Resistance Patterns of Staphylococcus Spp. Isolated from Horses Presented at a Veterinary Teaching Hospital,Results,Direct biological mechanisms,Staphylococcus spp.,"“Significant (p < 0.05) differences in the percentage of samples with isolates that were AMR or MDR was observed across seasons, horse breeds and Staphylococcus spp. Summer season had the highest (64.3%) and autumn the lowest (29.6%) percentages of AMR isolates.” (p.1, para.4)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_120-M2,120,2,Oguttu (2017),An Exploratory Descriptive Study of Antimicrobial Resistance Patterns of Staphylococcus Spp. Isolated from Horses Presented at a Veterinary Teaching Hospital,Results,Environment-mediated pathways,Staphylococcus spp.,"“However, a significant (p = 0.002) association between season and percentage of isolates resistant to at least one antimicrobial was observed. Summer had the highest (64.3%; 95% CI: 48.6, 77.4%) and autumn the lowest (29.6%; 95% CI: 15.2, 49.6%) percentage of antimicrobial resistant isolates (Table 2).” (p.5, para.1)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_120-M3,120,3,Oguttu (2017),An Exploratory Descriptive Study of Antimicrobial Resistance Patterns of Staphylococcus Spp. Isolated from Horses Presented at a Veterinary Teaching Hospital,Discussion theoretical interpretation,Direct biological mechanisms,Staphylococcus spp.,"“The significant association observed between season and percentage of antimicrobial resistance could be attributed to weather conditions such as temperature and humidity.” (p.6, para.3)",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2026-01-03
EVID_120-M4,120,4,Oguttu (2017),An Exploratory Descriptive Study of Antimicrobial Resistance Patterns of Staphylococcus Spp. Isolated from Horses Presented at a Veterinary Teaching Hospital,Discussion theoretical interpretation,Environment-mediated pathways,Staphylococcus spp.,"“However, it may also be due to seasonal differences in staffing levels (i.e., fewer regular staff during vacation months) and seasonal differences in antimicrobial drug use due to differences in infection rates from other bacteria resulting in differences in selection pressure [30].” (p.6, para.3)",Theoretical/projection,Theoretical support,Promoting AMR,Conceptual or unclear,Built or engineered environment,2026-01-03
EVID_120-M5,120,5,Oguttu (2017),An Exploratory Descriptive Study of Antimicrobial Resistance Patterns of Staphylococcus Spp. Isolated from Horses Presented at a Veterinary Teaching Hospital,Results and discussion integration,Direct biological mechanisms,Staphylococcus spp.,"“The above limitations notwithstanding, the study has shown evidence of seasonal patterns of staphylococcal infections and occurrence of AMR and MDR in horses.” (p.9, para.2)",Observational,Indirect empirical support,Bidirectional or mixed,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_120-M6,120,6,Oguttu (2017),An Exploratory Descriptive Study of Antimicrobial Resistance Patterns of Staphylococcus Spp. Isolated from Horses Presented at a Veterinary Teaching Hospital,Results,Environment-mediated pathways,Staphylococcus spp.,"“On the contrary, there was no significant (p = 0.137) association between the percentage of MDR isolates and season.” (p.5, para.1)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Built or engineered environment,2026-01-03
EVID_121-M1,121,1,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Results,Environment-mediated pathways,,"“All extracellular genes were quantifiable in the stormwater samples with concentrations ranging from 2.69 × 10^5 to 7.59 × 10^9 GC per L.” (p.3, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-03
EVID_121-M2,121,2,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Results,Environment-mediated pathways,,"“When the abundance of the extracellular genes in stormflow was compared to baseflow conditions, it was found that the concentration of two of the four eARGs in stormwater, e-ermF and e-tetC, was statistically greater than the concentration measured in the baseflow samples.” (p.3, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-03
EVID_121-M3,121,3,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Results,Environment-mediated pathways,,"“A statistically significant increase in the average absolute concentration of all intracellular genes was observed between the baseflow and the stormwater samples with an average fold change of 1.12.” (p.3, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-03
EVID_121-M4,121,4,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Results,Environment-mediated pathways,,"“i-tetC displayed the greatest increase under stormflow conditions with the average abundance increasing from 4.2 × 10^7 GC per L during baseflow to 6.3 × 10^8 GC per L; this is the first time that i-tetC has been quantified in stormwater.” (p.3, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-03
EVID_121-M5,121,5,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Results,Environment-mediated pathways,,"“Variations in concentration of the eARGs (blaTEM, ermF, sul1, and tetC) were found across the season, but each gene was the most abundant in the fall.” (p.3, para.2)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_121-M6,121,6,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Results and discussion integration,Environment-mediated pathways,,"“In this case, the iARGs and eARGs exhibited the same trend as on average the genes in stormflow were found to increase 19% and 18% in the fall, 13% and 12% in the spring, and 6% and 9% in the winter, respectively, across all locations.” (p.4, para.3)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_121-M7,121,7,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Discussion interpretation,Environment-mediated pathways,,"“An increased antecedent dry weather period, for instance, has been correlated with higher concentrations of pollutants in stormwater runoff due to the buildup and subsequent transport of chemicals and solids from urban surfaces.” (p.8, para.3)",Theoretical/projection,Theoretical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_121-M8,121,8,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Discussion interpretation,Environment-mediated pathways,,"“The antecedent dry weather period that preceded the fall sampling event was 17 days, while only 7 and 3 days of dry weather came before the winter and spring sampling, respectively.” (p.8, para.3)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_121-M9,121,9,O'Malley (2022),Seasonal and spatial patterns differ between intracellular and extracellular antibiotic resistance genes in urban stormwater runoff,Discussion interpretation,Environment-mediated pathways,,"“Selective pressures are known to increase mutation rates, recombination, horizontal gene transfer, and expression of antibiotic resistance mechanisms thereby diversifying the overall resistome and increasing the risk of ARG dissemination to human pathogens.” (p.7, para.4)",Review-based,Review-based support,Promoting AMR,Conceptual or unclear,Natural environment,2026-01-04
EVID_122-M1,122,1,Neher (2020),Seasonal variations in export of antibiotic resistance genes and bacteria in runoff from an agricultural watershed in Iowa,Results and discussion integration,Environment-mediated pathways,E.coli; Enterococcus,"“Resistant bacteria concentrations were significantly higher during June–August.” (p.1, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_122-M2,122,2,Neher (2020),Seasonal variations in export of antibiotic resistance genes and bacteria in runoff from an agricultural watershed in Iowa,Results and discussion integration,Environment-mediated pathways,未明确,"“Plate counts were significantly greater during the growing season, while the ARGs were greater in the pre-planting and post-harvest seasons (Wilcoxon Rank-Sum Test p b 0.05).” (p.1, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_122-M3,122,3,Neher (2020),Seasonal variations in export of antibiotic resistance genes and bacteria in runoff from an agricultural watershed in Iowa,Results and discussion integration,Environment-mediated pathways,E.coli; Enterococcus,"“The ermB gene concentration was significantly correlated (p b 0.05) with E. coli and Enterococcus concentrations in 2017, suggesting a potential use of this ARG as an indicator of environmental AMR and human health risk.” (p.1, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_122-M4,122,4,Neher (2020),Seasonal variations in export of antibiotic resistance genes and bacteria in runoff from an agricultural watershed in Iowa,Results and discussion integration,Environment-mediated pathways,未明确,"“Flow rate was not a significant contributor to annual variations in bacteria and AMR indicators.” (p.1, para.1)",Observational,Indirect empirical support,Uncertain,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_122-M5,122,5,Neher (2020),Seasonal variations in export of antibiotic resistance genes and bacteria in runoff from an agricultural watershed in Iowa,Results and discussion integration,Environment-mediated pathways,未明确,"“Based on observed seasonal patterns, we concluded that manure application was the likely contributor to elevated ARG indicators observed in the BHL watershed, while the driver of elevated ARB indictors in the growing season can only be speculated.” (p.1, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
EVID_124-M1,124,1,Mohanty et al. (2004),Seasonality and antimicrobial resistance pattern of Vibrio cholerae in a tertiary care hospital of North India,Results and discussion integration,Direct biological mechanisms,"印度德里地区霍乱弧菌(Vibrio cholerae O1 biotype El Tor serotype Ogawa, V. cholerae O139, non-O1 non-O139)","Cholera is endemic in Delhi and is a highly seasonal disease. Our study agreed with the studies done by Singh et al., in that cases usually start appearing in the month of April, attain a peak during summer and the monsoon seasons (May to September) and decline by the month of November. The dry winter months (January to March) in Delhi are usually free from disease, although unusual occurrence of cholera was reported in January in 1994. In the present study, three cases of cholera occurred in the initial part of March 2002, a month before the beginning of the usual cholera season. (Discussion-p.250); ""The highest number of cholera cases occurred during May-June followed by July-August (Figure 1). In 1998-2001, cases started appearing in April. However, in 2002, three cases occurred in the month of March, all in the first week of the month. The peak incidence of the disease was observed in May and June of each year, except in the year 2002 when disease incidence peaked in March-April (see Figure 1). The months of January and February were completely free from the disease in all the years."" (Results-p.250); ""Of 3213 diarrhoeal stool specimens processed from 3213 suspected cases of cholera, 431 (13.4%) were found positive for V. cholerae; 423 due to V. cholerae O1 biotype El Tor, two due to V. cholerae O139 and six due to V. cholerae non-O1 non-O139. All the V. cholerae O1 isolates were serotype Ogawa."" (Results-p.249-250); ""Only 42 strains (9.73%) were sensitive to all the antibiotics tested and the other 389 (90.25%) strains were resistant to one or more antibiotics."" (Results-p.250)",Observational,Direct empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-22
EVID_124-M2,124,2,Mohanty et al. (2004),Seasonality and antimicrobial resistance pattern of Vibrio cholerae in a tertiary care hospital of North India,Results and discussion integration,Socio-ecological mediation,"印度德里地区霍乱弧菌(Vibrio cholerae O1, O139, non-O1 non-O139)","Although the use of antibiotics in the treatment of diarrhoeal disease is controversial, they do seem to play an important role in the management of critically ill patients. While tetracycline is the drug of choice for cholera, chloramphenicol, furazolidone and co-trimoxazole are the other reported alternatives. In the present study, a high rate of resistance to ampicillin, co-trimoxazole, furazolidone and nalidixic acid (ACoFzNa) was observed. Gastroenteritis due to V. cholerae O1 strains with a similar profile of resistance i.e. ACoFzNa have previously been reported in strains isolated from Bhillai, Ahmedabad, Allephey, Chennai (Madras), Vellore and Dibrugarh. The appearance of resistant strains of V. cholerae to furazolidone and nalidixic acid is a matter of great concern, as these are the drugs of choice for children where tetracycline is not recommended. In the current study, resistance of almost a quarter of V. cholerae isolates to tetracycline necessitates its close monitoring as a drug of choice. (Discussion-p.250); ""An interesting finding of note in the present study is the low level of resistance of V. cholerae to the fluoroquinolones, i.e., ciprofloxacin and norfloxacin (6.92% and 14.10%, respectively) including the two O139 strains which were sensitive to both the antibiotics. This is in agreement with recent studies which report no resistance of V. cholerae O1 and O139 strains to ciprofloxacin and intermediate resistance of V. cholerae O1 to norfloxacin. However, ciprofloxacin is an important substitute drug for treatment of multidrug-resistant enteric and other pathogens and needs to be kept in reserve."" (Discussion-p.250-251); ""Only 42 strains (9.73%) were sensitive to all the antibiotics tested and the other 389 (90.25%) strains were resistant to one or more antibiotics."" (Results-p.250); ""It was shown that V. cholerae isolated after the epidemic of V. cholerae O139 had an expanding R type with resistance to a variety of drugs as compared to the O1 strains isolated before the advent of V. cholerae O139."" (Discussion-p.251)",Observational,Direct empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-22
EVID_124-M3,124,3,Mohanty et al. (2004),Seasonality and antimicrobial resistance pattern of Vibrio cholerae in a tertiary care hospital of North India,Results and discussion integration,Environment-mediated pathways,"印度德里地区霍乱弧菌(Vibrio cholerae O1 biotype El Tor serotype Ogawa, V. cholerae O139, non-O1 non-O139)","Of 3213 diarrhoeal stool specimens processed from 3213 suspected cases of cholera, 431 (13.4%) were found positive for V. cholerae; 423 due to V. cholerae O1 biotype El Tor, two due to V. cholerae O139 and six due to V. cholerae non-O1 non-O139. All the V. cholerae O1 isolates were serotype Ogawa. (Results-p.249-250); ""Currently, cholera may be caused by both the Ogawa and Inaba serotypes of the El Tor biotype of the V. cholerae O1. However, the majority of isolates belong to serotype Ogawa. In the present study, all the V. cholerae O1 belonged to serotype Ogawa and no serotype Inaba were encountered."" (Discussion-p.250); ""Vibrio cholerae O1 and O139 serogroups are the well known aetiological agents of epidemic cholera and focus on non-O1 non-O139 serogroups has always been low. Considering that six isolates of V. cholerae in the current study were non-O1 non-O139, the participation of these serogroups in causing cholera-like diarrhoeal illness should not be underestimated particularly after the emergence of O139 Bengal."" (Discussion-p.250); ""The two isolates of V. cholerae O139 were obtained in April and August 2001."" (Results-p.250); ""It was shown that V. cholerae isolated after the epidemic of V. cholerae O139 had an expanding R type with resistance to a variety of drugs as compared to the O1 strains isolated before the advent of V. cholerae O139."" (Discussion-p.251)",Observational,Direct empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-22
EVID_124-M4,124,4,Mohanty et al. (2004),Seasonality and antimicrobial resistance pattern of Vibrio cholerae in a tertiary care hospital of North India,Discussion interpretation,Socio-ecological mediation,印度德里地区霍乱弧菌(Vibrio cholerae),"It is amply clear that long-term surveillance programmes are essential in the identification of changes in the epidemiology of V. cholerae and the monitoring of trends in antimicrobial resistance patterns of V. cholerae strains isolated in endemic localities. The drug susceptibility patterns of non-O1 strains should be particularly watched, as this has bearing on V. cholerae O1 isolates. It was shown that V. cholerae isolated after the epidemic of V. cholerae O139 had an expanding R type with resistance to a variety of drugs as compared to the O1 strains isolated before the advent of V. cholerae O139. Thus, a knowledge of seasonal distribution and antibiotic resistance pattern of V. cholerae isolates in particular geographical region would help in the delineation of appropriate measures required during epidemics. (Discussion-p.251)",Observational,Direct empirical support,Suppressing AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-22
EVID_124-M5,124,5,Mohanty et al. (2004),Seasonality and antimicrobial resistance pattern of Vibrio cholerae in a tertiary care hospital of North India,Results and discussion integration,Socio-ecological mediation,印度德里地区霍乱弧菌(Vibrio cholerae),"Though rehydration and restoration of electrolyte balance is the essence of cholera therapy, it does not diminish the degree of purging. Accordingly antibiotics have been commonly employed as supportive therapy to reduce the volume and duration of diarrhoea once vomiting has stopped. Additionally, 10%-12% of close household contacts of a cholera case may be bacteriologically positive - they are advised to undertake chemoprophylaxis as they may well develop clinical illness. Thus, in regions where cholera is endemic, it is important to identify those antibiotics to which V. cholerae is resistant since resistant V. cholerae poses an additional threat by leading to illness of a longer duration. (Introduction-p.249); ""Cholera is endemic in Delhi with a seasonal distribution. Hundreds of laboratory-confirmed cases occur every year, peaking during the summer and monsoon seasons."" (Introduction-p.249); ""In the present study, a high rate of resistance to ampicillin, co-trimoxazole, furazolidone and nalidixic acid (ACoFzNa) was observed. Gastroenteritis due to V. cholerae O1 strains with a similar profile of resistance i.e. ACoFzNa have previously been reported in strains isolated from Bhillai, Ahmedabad, Allephey, Chennai (Madras), Vellore and Dibrugarh."" (Discussion-p.250)",Observational,Direct empirical support,Promoting AMR,Observational cumulative/seasonal,Within host / clinical,2025-12-22
EVID_125-M1,125,1,Mohanta (2014),Prevalence of antibiotic-resistant bacteria in three different aquatic environments over three seasons,Results,Environment-mediated pathways,E.coli; P.aeruginosa; K.pneumoniae; S.flexneri; A.caviae; A.hydrophila; C.sakazakii; E.amnigenus; P.oryzihabitans; S.entomophila; P.fontium,"“In the three-season study for the River Hooghly, bacterial counts were in the order: post-monsoon>winter>summer.” (p.6, para.1)",Observational,Indirect empirical support,Promoting AMR,Observational cumulative/seasonal,Natural environment,2026-01-04
